ticker,contrib,avg_w,months,members,mean_ret,share_of_total
JBI,0.003775352738382031,0.009576352619115778,12,1,0.010619147209382127,0.003962880452539448
AZN,0.0037304473651250864,0.0050492974291429515,12,1,0.028069032541087374,0.003915744558697063
KMI,0.003548188750978472,0.03812169312169312,12,1,0.0034585923720965583,0.003724432872251021
JPM,0.0034136768748427165,0.007394755708873348,24,1,0.02705377693674967,0.003583239579461845
CSX,0.0033965114592082644,0.04050925925925926,12,1,0.005501747301091505,0.003565221530608842
TJX,0.0033464493935063677,0.0038137537849978276,15,1,0.02504431560822062,0.0035126728032894407
KTOS,0.0031023365789416605,0.003794381866073405,12,1,0.017716889943996037,0.0032564345209117654
ETP,0.002927253691831415,0.024585206460206458,12,1,0.01062330945509804,0.003072654991160934
BSX,0.002714992117980543,0.004732449706634851,12,1,0.012929890564409527,0.002849850050767637
HAS,0.0025549724005718573,0.024796075837742505,12,1,-0.0031038757040041574,0.002681881902071806
PEP,0.0024916751933288708,0.013572946661181957,12,1,0.01720535937888566,0.0026154406228945204
BIPC,0.002396686397809275,0.0038603449458170683,12,1,0.05278443401197757,0.0025157335843579843
NEE,0.0021923358489094663,0.0038484741006128893,12,1,0.02314148187329637,0.002301232621979615
TGT,0.002161356524376299,0.019393569393569395,12,1,-0.009947205346776835,0.0022687145056252797
INVH,0.0021553840878037692,0.024796075837742505,12,1,0.006311752159292268,0.002262445408725621
SAP,0.002100852780731625,0.013572946661181957,12,1,0.009831626313228287,0.002205205445781062
BRKR,0.001876448087755859,0.015098134189043282,11,1,0.005408271054407867,0.0019696542184186898
COLD,0.0018650366286519335,0.003876205903915696,14,1,0.012748536819580257,0.0019576759341756976
ZTS,0.0018632310825748575,0.01626251641876642,12,1,0.01604566572111123,0.0019557807037824523
GD,0.0016809727000467467,0.03812169312169312,12,1,-0.0029363133415003426,0.00176446926045977
DD,0.0015913004992482616,0.004732449706634852,12,1,0.011378514794381641,0.0016703429002742042
SPGI,0.001431939614565891,0.012562689199202358,12,1,0.007564764844338684,0.0015030663095634224
KO,0.00114987753502534,0.006001056001056,12,1,0.015373935731867433,0.0012069937624739782
LOW,0.0011010002849376845,0.006001056001056001,12,1,0.0035611050926776335,0.0011556887024256656
OLED,0.0006990851287899345,0.0037904914210064897,12,1,0.017737912557909657,0.0007338097877259372
KR,0.0004430147701142761,0.006045018680888245,12,1,0.008931777680948485,0.000465020011196228
MA,0.0003993862074718698,0.013572946661181957,12,1,0.004025478652444107,0.00041922434916172346
CCI,0.0003474353120452079,0.0056840270155487545,14,1,0.00282525145119501,0.0003646929709714912
TMUS,0.0003072111972668895,0.01092916647192963,12,1,0.004086035094076512,0.0003224708610862
LLY,0.0002751798071925096,0.004210977895188421,3,1,0.02340592347791448,0.0002888484214389245
DECK,0.0002360305998269197,0.008453706873679839,15,1,-0.006355302324727915,0.0002477546113098084
RUN,0.0002132954427201024,0.003952581509567166,13,1,0.0022016402502366555,0.00022389016315691037
HD,0.0002017962555963618,0.004039528250054566,4,1,0.0168516044013723,0.000211819793305246
BNS,0.0001664021595994013,0.005472674358543923,12,1,0.004771733398894945,0.0001746676168382146
SRE,0.00013803345988506587,0.05654761904761905,12,1,-0.007240571896520008,0.00014488979914744146
UNP,7.734930667905292e-05,0.012698412698412698,5,1,-0.0054314038476218855,8.119136851494912e-05
IFF,-6.242703502406473e-05,0.004732449706634852,12,1,0.0024317792507194216,-6.552788413431369e-05
QCOM,-0.0001133422273442167,0.0197017797017797,5,1,-0.010683921946990926,-0.00011897211421419966
ICE,-0.00016561585242465542,0.004084159347317242,4,1,-0.0029255929960356752,-0.000173842252548194
MO,-0.00022962553902680806,0.005472674358543923,12,1,0.0024152091367995823,-0.00024103140105609128
MDT,-0.00026027237677643756,0.004005314724065086,12,1,-0.0019460294396292193,-0.0002732005154849071
PSQ,-0.0003399843956227314,0.005961680481647161,26,1,-0.012047188899854075,-0.00035687195580012696
TSM,-0.0004131508238509911,0.01041237360681805,18,2,-0.008527204055541613,-0.00043367267570641104
CI,-0.00044386832006782347,0.004123484386642281,2,1,-0.05414508481063607,-0.00046591595831973527
NVS,-0.0004969381674055522,0.004123484386642281,2,1,-0.05676471460553417,-0.000521621868524054
ADBE,-0.0008739375655802854,0.0050492974291429515,12,1,0.0014247154812813505,-0.0009173474203266804
HNDL,-0.0008890688018625087,0.005472674358543924,12,1,-0.005641638680918021,-0.0009332302489365646
BRK.B,-0.0009821370002658955,0.0040301433916284995,6,1,-0.037750258881187014,-0.0010309212912744802
NTNX,-0.00139603702961344,0.004084159347317242,4,1,-0.06687227095462767,-0.0014653803866939534
BXMT,-0.0014979931553119608,0.013107263107263107,6,1,-0.030548922306700643,-0.0015724008336682612
VZ,-0.0016015132089712957,0.03183580308580309,24,2,0.00023512424809740695,-0.001681062891367332
ATR,-0.0018662405300434231,0.014069264069264068,2,1,-0.0614326823769481,-0.0019589396352446375
NIO,-0.0020513708042345412,0.006001056001056,12,1,-0.05216666928139558,-0.002153265621610527
NLY,-0.002582559475485923,0.01522059422059422,13,1,-0.020536555518227622,-0.0027108392704279466
HON,-0.002785587399914449,0.021786492374727667,12,1,-0.013463284190461472,-0.0029239519114953004
MCD,-0.0028590219674841165,0.04692760942760943,12,1,-0.0006895655759842171,-0.003001034089646219
VST,-0.002867008835434185,0.004210977895188421,3,1,-0.10976197980668496,-0.003009417677901314
QQQ,-0.0030386993166968464,0.012421281307150873,16,1,-0.014461642676186512,-0.0031896362956653538
WY,-0.0030732849367751678,0.004084159347317242,4,1,-0.04834282251524691,-0.003225939837942061
INTC,-0.0037032312664126046,0.02332582268856779,32,2,-0.0015916412296905153,-0.003887176593514477
ADSK,-0.00385487520340523,0.0050492974291429515,12,1,-0.01644622509356371,-0.00404635292359476
EL,-0.0039355637920724384,0.07142857142857142,1,1,-0.05509789308901414,-0.00413104944149134
DEO,-0.004915642977003311,0.029021268586485977,16,1,0.012979187181857898,-0.005159810702503431
FIS,-0.005051128773581686,0.005342652041882061,22,2,-0.008172921855795278,-0.005302026291896882
CDW,-0.005863756015343284,0.015552348885682217,4,1,-0.06879962801785273,-0.006155018008098267
RHHBY,-0.006189628113732083,0.05654761904761905,12,1,-0.011830242452702292,-0.006497076686643472
AI,-0.0063880936051344,0.006001056001056,12,1,-0.08765215538872301,-0.006705400271453442
CCK,-0.006771439075294405,0.012442399522991627,18,1,-0.01435739406999997,-0.007107787114627645
CE,-0.007100628275682914,0.04050925925925926,12,1,-0.016830108648641606,-0.007453327660851092
GOOGL,-0.007544836294399929,0.02353352665852666,12,1,-0.029295936916401005,-0.007919600191186722
CSCO,-0.0077737268906681815,0.013263537568104746,23,2,-0.010259662960868481,-0.008159860143720398
FISV,-0.00815562172863679,0.023362594195927528,6,1,-0.024726519782353462,-0.008560724299518489
BABA,-0.008780516242111331,0.005694258677299176,27,3,-0.044550713413612594,-0.009216658307265984
MIDD,-0.009238965844292677,0.01629389129389129,4,1,-0.12306781979604461,-0.009697879822937535
SONY,-0.009634937513512949,0.021786492374727667,12,1,-0.017685772816416367,-0.010113520028357102
SH,-0.010420288679592297,0.0038873957571376183,19,1,-0.029586332514888087,-0.01093788082325562
COIN,-0.010859241785564442,0.007276837415611509,12,1,-0.07132080117582622,-0.011398637421057387
LZ,-0.01414321417191016,0.007569397159390766,12,1,-0.08766245751985206,-0.014845729885881231
T,-0.01555900628082258,0.016385191197746653,35,4,-0.0022819566742048746,-0.016331846617763913
QS,-0.016777731617719255,0.014797008547008548,12,1,-0.08888741649200187,-0.01761110796081717
MU,-0.02124801112334375,0.18181818181818182,11,1,0.006440880457621882,-0.022303433287170396
SCI,-0.02892044253752073,0.019900082556332556,12,1,-0.004706930507859086,-0.030356966448610013
